accuracy,training_time,plain_inference_time,datetime,y_hat_sample,y_sample,inference_size,activation,time_taken,is_plaintext,is_cyphertext,session
0.6511,437.60250902175903,35.014158964157104,2021-10-12 10:48:08.505291,"[4, 4, 2, 1, 7, 7, 8, 4, 4, 1, 7, 7, 7, 8, 1, 1, 9, 6, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.5576,434.1758921146393,34.966153621673584,2021-10-12 12:59:45.888788,"[4, 4, 4, 1, 7, 7, 8, 3, 4, 1, 7, 7, 7, 8, 1, 3, 9, 4, 3, 5]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.2318,434.0454225540161,34.94085669517517,2021-10-12 13:08:06.098759,"[1, 5, 5, 1, 5, 7, 5, 5, 1, 1, 5, 5, 7, 5, 1, 5, 9, 7, 5, 5]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6552,440.58469581604,34.89506387710571,2021-10-12 13:28:06.498966,"[4, 4, 2, 1, 7, 9, 8, 1, 4, 1, 7, 7, 7, 8, 1, 1, 9, 6, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.2605,435.6076226234436,34.5089635848999,2021-10-12 13:37:04.358536,"[1, 1, 5, 1, 7, 7, 0, 1, 2, 1, 7, 5, 7, 5, 1, 5, 5, 2, 5, 5]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6529,439.3763587474823,34.6510853767395,2021-10-12 13:54:47.320894,"[4, 4, 8, 1, 7, 9, 8, 4, 4, 1, 7, 7, 9, 8, 1, 5, 9, 6, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6651,443.6754531860352,35.48684525489807,2021-10-12 14:06:16.806333,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 1, 7, 7, 9, 8, 1, 0, 9, 6, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.5951,441.90437388420105,34.956117391586304,2021-10-12 14:20:08.902469,"[4, 2, 4, 1, 7, 9, 8, 9, 4, 1, 7, 7, 9, 8, 1, 1, 9, 2, 3, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.2122,442.5336084365845,35.03115439414978,2021-10-12 14:30:42.354392,"[1, 1, 1, 1, 3, 9, 9, 1, 1, 1, 9, 1, 9, 9, 1, 1, 9, 9, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
0.6547,440.9595019817352,35.245278120040894,2021-10-12 14:50:49.913528,"[4, 4, 2, 1, 7, 7, 8, 1, 4, 1, 7, 7, 7, 8, 1, 1, 9, 2, 1, 3]","[4, 4, 2, 1, 5, 7, 8, 4, 4, 1, 5, 7, 7, 8, 1, 0, 9, 8, 0, 8]",10000,ReLU,,,,
